# This file includes the efficiency of the whole farm by wind direction.
# Wind direction angle	Farm efficiency
0.000000	40.187896
1.000000	42.068885
2.000000	46.935535
3.000000	52.812110
4.000000	59.069589
5.000000	65.732945
6.000000	72.089578
7.000000	77.386279
8.000000	81.553041
9.000000	84.377794
10.000000	85.995845
11.000000	86.412611
12.000000	86.579878
13.000000	86.274330
14.000000	83.926412
15.000000	84.479666
16.000000	86.460901
17.000000	85.072275
18.000000	80.405934
19.000000	77.670626
20.000000	80.538982
21.000000	85.106856
22.000000	87.023467
23.000000	87.104727
24.000000	85.521151
25.000000	81.435315
26.000000	75.268016
27.000000	69.671344
28.000000	68.391724
29.000000	72.462098
30.000000	78.832694
31.000000	84.140308
32.000000	87.123010
33.000000	87.835071
34.000000	86.169812
35.000000	82.864749
36.000000	82.803819
37.000000	86.263671
38.000000	88.094945
39.000000	87.951785
40.000000	88.246810
41.000000	87.463599
42.000000	84.889485
43.000000	80.584767
44.000000	74.900464
45.000000	68.468459
46.000000	62.178638
47.000000	56.983711
48.000000	54.627043
49.000000	56.470174
50.000000	61.420394
51.000000	67.635398
52.000000	74.196668
53.000000	80.157046
54.000000	84.760222
55.000000	87.671536
56.000000	88.850216
57.000000	88.809545
58.000000	88.981237
59.000000	87.539553
60.000000	84.188552
61.000000	83.704965
62.000000	86.835970
63.000000	88.952598
64.000000	88.536295
65.000000	85.858299
66.000000	80.558699
67.000000	74.348152
68.000000	70.331138
69.000000	70.869726
70.000000	75.626754
71.000000	81.937785
72.000000	86.768755
73.000000	88.710750
74.000000	88.993281
75.000000	87.446069
76.000000	82.964983
77.000000	80.104684
78.000000	81.950265
79.000000	86.513254
80.000000	88.705592
81.000000	87.209100
82.000000	86.636350
83.000000	88.503620
84.000000	89.055589
85.000000	88.838273
86.000000	88.509180
87.000000	87.036312
88.000000	84.281380
89.000000	79.874012
90.000000	73.789360
91.000000	67.174547
92.000000	60.683224
93.000000	54.842065
94.000000	49.274316
95.000000	44.907835
96.000000	42.955482
97.000000	44.502170
98.000000	48.650792
99.000000	54.128108
100.000000	59.916604
101.000000	66.375157
102.000000	72.987040
103.000000	79.081855
104.000000	83.528802
105.000000	86.379768
106.000000	87.897676
107.000000	88.337631
108.000000	88.600907
109.000000	87.341513
110.000000	86.719350
111.000000	87.930312
112.000000	86.560324
113.000000	82.332436
114.000000	80.780761
115.000000	83.955788
116.000000	87.496999
117.000000	88.032985
118.000000	86.258914
119.000000	81.758687
120.000000	75.541231
121.000000	71.407795
122.000000	72.398186
123.000000	77.724715
124.000000	83.552796
125.000000	86.991515
126.000000	87.527385
127.000000	85.263711
128.000000	84.072861
129.000000	86.421851
130.000000	87.826772
131.000000	87.505399
132.000000	86.074805
133.000000	82.756783
134.000000	77.693801
135.000000	71.445607
136.000000	64.766166
137.000000	59.032738
138.000000	56.531032
139.000000	58.995491
140.000000	64.709915
141.000000	71.323879
142.000000	77.434435
143.000000	82.419862
144.000000	85.616802
145.000000	86.804165
146.000000	87.011633
147.000000	85.595093
148.000000	83.040150
149.000000	84.187961
150.000000	86.342713
151.000000	85.848380
152.000000	82.446220
153.000000	76.793207
154.000000	70.998065
155.000000	69.736007
156.000000	74.259536
157.000000	80.438483
158.000000	84.632650
159.000000	86.339329
160.000000	85.578418
161.000000	82.197810
162.000000	78.522855
163.000000	80.186361
164.000000	84.554945
165.000000	85.726210
166.000000	84.038141
167.000000	84.625314
168.000000	86.229577
169.000000	85.993412
170.000000	85.606627
171.000000	84.069112
172.000000	81.305029
173.000000	77.200369
174.000000	71.987245
175.000000	65.737149
176.000000	59.088589
177.000000	52.829095
178.000000	46.948941
179.000000	42.074624
180.000000	40.187930
181.000000	42.061504
182.000000	46.931670
183.000000	52.810508
184.000000	59.069539
185.000000	65.732919
186.000000	72.089477
187.000000	77.385189
188.000000	81.550233
189.000000	84.374592
190.000000	85.994071
191.000000	86.411427
192.000000	86.580304
193.000000	86.274487
194.000000	83.926247
195.000000	84.479811
196.000000	86.461470
197.000000	85.073112
198.000000	80.406225
199.000000	77.670542
200.000000	80.538567
201.000000	85.106260
202.000000	87.024579
203.000000	87.102174
204.000000	85.519293
205.000000	81.434552
206.000000	75.266922
207.000000	69.670335
208.000000	68.392237
209.000000	72.463574
210.000000	78.835274
211.000000	84.143744
212.000000	87.124129
213.000000	87.840584
214.000000	86.172416
215.000000	82.867806
216.000000	82.807033
217.000000	86.264178
218.000000	88.092064
219.000000	87.948717
220.000000	88.249556
221.000000	87.458734
222.000000	84.873804
223.000000	80.574571
224.000000	74.896756
225.000000	68.466752
226.000000	62.175407
227.000000	56.978606
228.000000	54.626573
229.000000	56.475627
230.000000	61.424312
231.000000	67.637327
232.000000	74.198316
233.000000	80.163631
234.000000	84.776421
235.000000	87.689710
236.000000	88.866160
237.000000	88.809009
238.000000	88.969406
239.000000	87.533104
240.000000	84.187880
241.000000	83.708761
242.000000	86.838559
243.000000	88.961358
244.000000	88.516323
245.000000	85.842943
246.000000	80.554656
247.000000	74.343675
248.000000	70.334798
249.000000	70.880582
250.000000	75.632545
251.000000	81.942095
252.000000	86.784227
253.000000	88.730209
254.000000	88.979692
255.000000	87.438408
256.000000	82.961941
257.000000	80.104189
258.000000	81.953855
259.000000	86.517511
260.000000	88.709398
261.000000	87.213260
262.000000	86.635450
263.000000	88.502440
264.000000	89.056369
265.000000	88.833508
